	t1	t1.1	t10	t10.1	len(kb)
EC01288_0001	0	0	0	0	0.776
EC01288_0002	0	0	0	0	1.328
EC01288_0003	0	0	0	0	0.884
EC01288_0004	0	0	0	0	0.587
EC01288_0005	0	0	0	0	0.566
EC01288_0006	0	0	0	0	0.713
EC01288_0007	0	0	0	0	0.404
EC01288_0008	0	0	0	0	1.916
EC01288_0009	0	0	0	0	1.13
EC01288_0010	0	0	0	0	1.166
EC01288_0011	0	0	0	0	0.899
EC01288_0012	0	0	0	0	0.425
EC01288_0013	0	0	0	0	1.145
EC01288_0014	0	0	0	0	1.121
EC01288_0015	0	0	0	0	0.185
EC01288_0016	0	0	0	0	0.941
EC01288_0017	0	0	0	0	2.816
EC01288_0018	0	0	0	0	0.494
EC01288_0019	0	0	0	0	0.449
EC01288_0020	0	0	0	0	0.95
EC01288_0021	0	0	0	0	0.914
EC01288_0022	0	0	0	0	0.773
EC01288_0023	0	0	0	0	0.137
EC01288_0024	0	0	0	0	1.043
EC01288_0025	0	0	0	0	3.221
EC01288_0026	0	0	0	0	0.395
EC01288_0027	0	0	0	0	0.59
EC01288_0028	0	0	0	0	0.785
EC01288_0029	0	0	0	0	1.553
EC01288_0030	0	0	0	0	1.202
EC01288_0031	0	0	0	0	1.142
EC01288_0032	0	0	0	0	1.514
EC01288_0033	0	0	0	0	0.77
EC01288_0034	225	225	225	225	0.941
EC01288_0035	0	0	0	0	1.286
EC01288_0036	0	0	0	0	0.287
EC01288_0037	0	0	0	0	1.331
EC01288_0038	0	0	0	0	0.53
EC01288_0039	0	0	0	0	1.862
EC01288_0040	0	0	0	0	0.479
EC01288_0041	0	0	0	0	0.842
EC01288_0042	0	0	0	0	0.359
EC01288_0043	0	0	0	0	0.821
EC01288_0044	0	0	0	0	0.989
EC01288_0045	0	0	0	0	1.286
EC01288_0046	0	0	0	0	2.354
EC01288_0047	0	0	0	0	0.815
EC01288_0048	0	0	0	0	0.659
